Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,235.929993,238.660004,234.699997,237.050003,237.050003,12534482
2015-10-01,237.050003,238.449997,235.139999,236.710007,236.710007,11378441
2015-10-02,236.710007,239.520004,236.070007,238.580002,238.580002,10338780
2015-10-03,238.580002,277.579987,237.509995,238.330002,238.330002,7618430
2015-10-04,238.330002,240.529999,236.410004,240.149994,240.149994,14631928
2015-10-05,240.149994,247.610001,239.360001,246.139999,246.139999,19242190
2015-10-06,246.139999,247.279999,241.649994,242.979996,242.979996,15363142
2015-10-07,242.979996,244.789993,241.570007,242.580002,242.580002,10762328
2015-10-08,242.580002,244.559998,241.339996,244.039993,244.039993,9897714
2015-10-09,244.039993,245.929993,242.889999,245.350006,245.350006,9547124
2015-10-10,245.350006,248.259995,244.470001,247.649994,247.649994,10232454
2015-10-11,247.649994,248.020004,244.649994,245.350006,245.350006,9961674
2015-10-12,245.350006,251.190002,243.110001,248.779999,248.779999,18553307
2015-10-13,248.779999,255.059998,248.279999,252.330002,252.330002,17511356
2015-10-14,252.330002,256.760010,251.169998,254.440002,254.440002,15465023
2015-10-15,254.440002,267.269989,253.929993,262.869995,262.869995,24886162
2015-10-16,262.869995,275.410004,261.739990,269.579987,269.579987,30715446
2015-10-17,269.579987,272.440002,259.529999,261.670013,261.670013,13921233
2015-10-18,261.670013,265.950012,259.890015,263.820007,263.820007,15352671
2015-10-19,263.820007,272.119995,262.700012,269.750000,269.750000,20200355
2015-10-20,269.750000,272.170013,263.540009,267.109985,267.109985,16006977
2015-10-21,267.109985,278.739990,266.799988,274.420013,274.420013,25481882
2015-10-22,274.420013,279.769989,273.170013,276.920013,276.920013,19221822
2015-10-23,276.920013,283.049988,277.010010,282.559998,282.559998,16875626
2015-10-24,282.559998,295.559998,281.750000,287.859985,287.859985,32946170
2015-10-26,287.859985,287.619995,279.619995,285.149994,285.149994,20794049
2015-10-27,285.149994,298.429993,285.089996,294.660004,294.660004,31003938
2015-10-28,294.660004,307.459991,294.019989,303.540009,303.540009,35117112
2015-10-29,303.540009,318.480011,300.160004,313.630005,313.630005,43194878
2015-10-30,313.630005,334.920013,310.820007,327.119995,327.119995,50796456
2015-10-31,327.119995,333.250000,304.600006,311.239990,311.239990,33762428
2015-11-01,311.239990,324.339996,304.720001,322.950012,322.950012,23427549
2015-11-02,322.950012,365.750000,319.750000,359.279999,359.279999,76864059
2015-11-03,359.279999,416.779999,354.579987,396.489990,396.489990,163481625
2015-11-04,396.489990,492.799988,368.619995,400.890015,400.890015,229673024
2015-11-05,400.890015,447.239990,366.079987,382.700012,382.700012,121763708
2015-11-06,382.700012,396.350006,348.839996,369.809998,369.809998,94921694
2015-11-07,369.809998,391.750000,368.980011,385.089996,385.089996,39495095
2015-11-08,385.089996,389.779999,365.489990,371.559998,371.559998,35907981
2015-11-09,371.559998,385.109985,360.170013,380.220001,380.220001,47074440
2015-11-10,380.220001,381.380005,323.209991,336.690002,336.690002,74896052
2015-11-11,336.690002,341.760010,292.380005,304.709991,304.709991,83078426
2015-11-12,304.709991,346.130005,306.070007,333.850006,333.850006,54120828
2015-11-13,333.850006,341.790009,323.910004,333.769989,333.769989,32480298
2015-11-14,333.769989,369.799988,326.350006,331.769989,331.769989,23836097
2015-11-15,331.769989,334.779999,314.160004,317.450012,317.450012,28640663
2015-11-16,317.450012,332.010010,314.059998,330.209991,330.209991,28260517
2015-11-17,330.209991,342.910004,328.149994,333.910004,333.910004,32944787
2015-11-18,333.910004,337.390015,329.420013,335.920013,335.920013,26194853
2015-11-19,335.920013,335.640015,323.359985,324.980011,324.980011,28543062
2015-11-20,324.980011,327.059998,309.480011,321.119995,321.119995,35090324
2015-11-21,321.119995,328.420013,318.369995,324.700012,324.700012,14652996
2015-11-22,324.700012,326.940002,319.350006,322.779999,322.779999,11915632
2015-11-23,322.779999,325.000000,319.890015,322.119995,322.119995,13839023
2015-11-24,322.119995,323.260010,315.540009,318.350006,318.350006,16282941
2015-11-25,318.350006,330.040009,315.690002,327.519989,327.519989,25200934
2015-11-26,327.519989,368.920013,327.399994,353.739990,353.739990,73395832
2015-11-27,353.739990,363.899994,345.149994,359.519989,359.519989,36955394
2015-11-28,359.519989,360.079987,350.489990,355.829987,355.829987,19988111
2015-11-29,355.829987,372.839996,354.549988,370.839996,370.839996,24546100
2015-11-30,370.839996,382.559998,367.869995,377.970001,377.970001,48913368
2015-12-01,377.970001,379.019989,353.660004,361.799988,361.799988,40821470
2015-12-02,361.799988,363.429993,347.160004,359.980011,359.980011,32881089
2015-12-03,359.980011,371.369995,355.470001,360.309998,360.309998,31673283
2015-12-04,360.309998,363.950012,354.309998,361.670013,361.670013,21820610
2015-12-05,361.670013,390.279999,361.500000,386.690002,386.690002,43438102
2015-12-06,386.690002,402.190002,382.619995,393.380005,393.380005,52068577
2015-12-07,393.380005,398.739990,381.690002,394.279999,394.279999,38102878
2015-12-08,394.279999,411.070007,388.029999,410.670013,410.670013,29543120
2015-12-09,410.670013,424.579987,403.260010,416.000000,416.000000,61289838
2015-12-10,416.000000,420.359985,409.529999,415.489990,415.489990,29794270
2015-12-11,415.489990,453.369995,413.720001,449.829987,449.829987,76433917
2015-12-12,449.829987,467.709991,403.690002,432.290009,432.290009,91838640
2015-12-13,432.290009,440.970001,420.760010,434.690002,434.690002,27898250
2015-12-14,434.690002,449.450012,428.839996,442.000000,442.000000,97068568
2015-12-15,442.000000,464.230011,440.720001,462.649994,462.649994,48912227
2015-12-16,462.649994,465.160004,437.369995,453.980011,453.980011,84336145
2015-12-17,453.980011,458.440002,447.290009,455.529999,455.529999,29344348
2015-12-18,455.529999,466.119995,453.459991,463.179993,463.179993,38425211
2015-12-19,463.179993,465.989990,452.329987,461.200012,461.200012,28327900
2015-12-20,461.200012,462.760010,431.100006,441.779999,441.779999,54316484
2015-12-21,441.779999,445.540009,423.989990,437.589996,437.589996,53270215
2015-12-22,437.589996,443.220001,433.250000,437.029999,437.029999,28845536
2015-12-23,437.029999,444.779999,434.279999,442.429993,442.429993,27877349
2015-12-24,442.429993,460.619995,441.760010,452.980011,452.980011,36096662
2015-12-25,452.980011,457.440002,449.519989,454.049988,454.049988,19251958
2015-12-26,454.049988,456.480011,400.450012,415.369995,415.369995,88564770
2015-12-27,415.369995,425.510010,406.089996,422.390015,422.390015,28259303
2015-12-28,422.390015,429.850006,417.140015,421.760010,421.760010,28978639
2015-12-29,421.760010,433.559998,419.299988,431.920013,431.920013,30163445
2015-12-30,431.920013,435.040009,420.769989,427.149994,427.149994,29289416
2015-12-31,427.149994,433.119995,417.140015,429.950012,429.950012,27758278
2016-01-01,429.950012,437.950012,425.859985,433.989990,433.989990,20334286
2016-01-02,433.989990,437.429993,430.730011,433.720001,433.720001,14566820
2016-01-03,433.720001,434.140015,423.089996,430.700012,430.700012,23490162
2016-01-04,430.700012,435.260010,428.600006,433.320007,433.320007,22943968
2016-01-05,433.320007,435.250000,428.869995,431.200012,431.200012,19499588
2016-01-06,431.200012,432.109985,425.000000,430.820007,430.820007,18702334
2016-01-07,430.820007,457.540009,428.519989,457.049988,457.049988,58253615
